"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 03 16:22:51 GMT 2022","Sat Sep 03 16:22:51 GMT 2022","320","Отправляем сетевые запросы","","","","","Создать todo, 201",""
"passed","Sat Sep 03 16:22:54 GMT 2022","Sat Sep 03 16:22:54 GMT 2022","210","Отправляем сетевые запросы","","","","","Создать todo (формат body XML), 201",""
"passed","Sat Sep 03 16:22:50 GMT 2022","Sat Sep 03 16:22:51 GMT 2022","430","Отправляем сетевые запросы","","","","","Получить todo по ID, 200",""
"passed","Sat Sep 03 16:22:53 GMT 2022","Sat Sep 03 16:22:53 GMT 2022","213","Отправляем сетевые запросы","","","","","Получить OPTIONS /todos, 200",""
"passed","Sat Sep 03 16:22:54 GMT 2022","Sat Sep 03 16:22:54 GMT 2022","235","Отправляем сетевые запросы","","","","","Получить все todos (некорректный header), 406",""
"passed","Sat Sep 03 16:22:51 GMT 2022","Sat Sep 03 16:22:52 GMT 2022","190","Отправляем сетевые запросы","","","","","Отфильтровать todos по doneStatus=true, 200",""
"passed","Sat Sep 03 16:22:55 GMT 2022","Sat Sep 03 16:22:55 GMT 2022","266","Отправляем сетевые запросы","","","","","Создать todo c Content-Type ""application/xml"", но Accept ""application/json"", 400",""
"passed","Sat Sep 03 16:22:51 GMT 2022","Sat Sep 03 16:22:51 GMT 2022","187","Отправляем сетевые запросы","","","","","Получить HEAD /todos, 200",""
"passed","Sat Sep 03 16:22:53 GMT 2022","Sat Sep 03 16:22:53 GMT 2022","205","Отправляем сетевые запросы","","","","","Получить все todos (результат в формате XML), 200",""
"passed","Sat Sep 03 16:22:54 GMT 2022","Sat Sep 03 16:22:54 GMT 2022","239","Отправляем сетевые запросы","","","","","Получить все todos (no accept), 200",""
"passed","Sat Sep 03 16:22:51 GMT 2022","Sat Sep 03 16:22:51 GMT 2022","231","Отправляем сетевые запросы","","","","","Получить todo по ID, 404",""
"passed","Sat Sep 03 16:22:52 GMT 2022","Sat Sep 03 16:22:52 GMT 2022","403","Отправляем сетевые запросы","","","","","Обновить данные в todos/{id}, 200",""
"passed","Sat Sep 03 16:22:52 GMT 2022","Sat Sep 03 16:22:52 GMT 2022","229","Отправляем сетевые запросы","","","","","Получить ошибку по doneStatus на POST todo, 400",""
"failed","Sat Sep 03 16:22:50 GMT 2022","Sat Sep 03 16:22:50 GMT 2022","257","Отправляем сетевые запросы","","","","","Получить все todos (результат в формате JSON), 200",""
"passed","Sat Sep 03 16:22:55 GMT 2022","Sat Sep 03 16:22:55 GMT 2022","259","Отправляем сетевые запросы","","","","","Создать todo c Content-Type ""application/json"", но Accept ""application/xml"", 400",""
"passed","Sat Sep 03 16:22:50 GMT 2022","Sat Sep 03 16:22:50 GMT 2022","250","Отправляем сетевые запросы","","","","","Получить список заданий, 200",""
"passed","Sat Sep 03 16:22:54 GMT 2022","Sat Sep 03 16:22:54 GMT 2022","230","Отправляем сетевые запросы","","","","","Создать todo (формат body JSON), 201",""
"passed","Sat Sep 03 16:22:52 GMT 2022","Sat Sep 03 16:22:53 GMT 2022","412","Отправляем сетевые запросы","","","","","Удалить запись todos/{id}, 200",""
"passed","Sat Sep 03 16:22:53 GMT 2022","Sat Sep 03 16:22:54 GMT 2022","275","Отправляем сетевые запросы","","","","","Получить все todos (предпочтительный формат результата XML), 200",""
"passed","Sat Sep 03 16:22:54 GMT 2022","Sat Sep 03 16:22:55 GMT 2022","205","Отправляем сетевые запросы","","","","","Создать todo (формат contentType некорректен), 415",""
"passed","Sat Sep 03 16:22:50 GMT 2022","Sat Sep 03 16:22:50 GMT 2022","118","Отправляем сетевые запросы","","","","","Вызвать несуществующий endpoint /todo, 404",""
"passed","Sat Sep 03 16:22:53 GMT 2022","Sat Sep 03 16:22:53 GMT 2022","262","Отправляем сетевые запросы","","","","","Получить все todos (формат результата any), 200",""
